abordar(mandato-formal[ud/uds/nos]) aborde aborden abordemos
aterrizar(mandato-formal[ud/uds/nos]) aterrice aterricen aterricemos
despegar(mandato-formal[ud/uds/nos]) despegue despeguen despeguemos
doblar(mandato-formal[ud/uds/nos]) doble doblen doblemos
facturar(mandato-formal[ud/uds/nos]) facture facturen facturemos
barrer(mandato-formal[ud/uds/nos]) barra barran barramos
guardar(mandato-formal[ud/uds/nos]) guarde guarden guardemos
ordenar(mandato-formal[ud/uds/nos]) ordene ordenen ordenemos
planchar(mandato-formal[ud/uds/nos]) planche planchen planchemos
sacar(mandato-formal[ud/uds/nos]) saque saquen saquemos
sacudir(mandato-formal[ud/uds/nos]) sacuda sacudan sacudamos
secar(mandato-formal[ud/uds/nos]) seque sequen sequemos
trapear(mandato-formal[ud/uds/nos]) trapee trapeen trapeemos
colgar(mandato-formal[ud/uds/nos]) cuelgue cuelguen colguemos
recoger(mandato-formal[ud/uds/nos]) recoja recojan recojamos
regar(mandato-formal[ud/uds/nos]) riegue rieguen reguemos
tender(mandato-formal[ud/uds/nos]) tienda tiendan tendamos
