acabar(mandato-formal[ud/uds/nos]) acabe acaben acabemos
apagar(mandato-formal[ud/uds/nos]) apague apaguen apaguemos
apreciar(mandato-formal[ud/uds/nos]) aprecie aprecien apreciemos
descomponer(mandato-formal[ud/uds/nos]) descomponga descompongan descompongamos
disen'ar(mandato-formal[ud/uds/nos]) disen'e disen'en disen'emos
esculpir(mandato-formal[ud/uds/nos]) esculpa esculpan esculpamos
exhibir(mandato-formal[ud/uds/nos]) exhiba exhiban exhibamos
olvidar(mandato-formal[ud/uds/nos]) olvide olviden olvidemos
posar(mandato-formal[ud/uds/nos]) pose posen posemos
quedar(mandato-formal[ud/uds/nos]) quede queden quedemos
romper(mandato-formal[ud/uds/nos]) rompa rompan rompamos
