ayudar(mandato-formal[ud/uds/nos]) ayude ayuden ayudemos
bailar(mandato-formal[ud/uds/nos]) baile bailen bailemos
buscar(mandato-formal[ud/uds/nos]) busque busquen busquemos
caminar(mandato-formal[ud/uds/nos]) camine caminen caminemos
cantar(mandato-formal[ud/uds/nos]) cante canten cantemos
cocinar(mandato-formal[ud/uds/nos]) cocine cocinen cocinemos
comprar(mandato-formal[ud/uds/nos]) compre compren compremos
desear(mandato-formal[ud/uds/nos]) desee deseen deseemos
ensen'ar(mandato-formal[ud/uds/nos]) ensen'e ensen'en ensen'emos
escuchar(mandato-formal[ud/uds/nos]) escuche escuchen escuchemos
estudiar(mandato-formal[ud/uds/nos]) estudie estudien estudiemos
hablar(mandato-formal[ud/uds/nos]) hable hablen hablemos
limpiar(mandato-formal[ud/uds/nos]) limpie limpien limpiemos
llamar(mandato-formal[ud/uds/nos]) llame llamen llamemos
llegar(mandato-formal[ud/uds/nos]) llegue lleguen lleguemos
mirar(mandato-formal[ud/uds/nos]) mire miren miremos
nadar(mandato-formal[ud/uds/nos]) nade naden nademos
necesitar(mandato-formal[ud/uds/nos]) necesite necesiten necesitemos
practicar(mandato-formal[ud/uds/nos]) practique practiquen practiquemos
preguntar(mandato-formal[ud/uds/nos]) pregunte pregunten preguntemos
regresar(mandato-formal[ud/uds/nos]) regrese regresen regresemos
tomar(mandato-formal[ud/uds/nos]) tome tomen tomemos
trabajar(mandato-formal[ud/uds/nos]) trabaje trabajen trabajemos
viajar(mandato-formal[ud/uds/nos]) viaje viajen viajemos
esquiar(mandato-formal[ud/uds/nos]) esqui'e esqui'en esquiemos
tener(mandato-formal[ud/uds/nos]) tenga tengan tengamos
