ayudar(present) ayudo ayudas ayuda ayudamos ayuda'is ayudan
bailar(present) bailo bailas baila bailamos baila'is bailan
buscar(present) busco buscas busca buscamos busca'is buscan
caminar(present) camino caminas camina caminamos camina'is caminan
cantar(present) canto cantas canta cantamos canta'is cantan
cocinar(present) cocino cocinas cocina cocinamos cocina'is cocinan
comprar(present) compro compras compra compramos compra'is compran
desear(present) deseo deseas desea deseamos desea'is desean
ensen'ar(present) ensen'o ensen'as ensen'a ensen'amos ensen'a'is ensen'an
escuchar(present) escucho escuchas escucha escuchamos escucha'is escuchan
estudiar(present) estudio estudias estudia estudiamos estudia'is estudian
hablar(present) hablo hablas habla hablamos habla'is hablan
limpiar(present) limpio limpias limpia limpiamos limpia'is limpian
llamar(present) llamo llamas llama llamamos llama'is llaman
llegar(present) llego llegas llega llegamos llega'is llegan
mirar(present) miro miras mira miramos mira'is miran
nadar(present) nado nadas nada nadamos nada'is nadan
necesitar(present) necesito necesitas necesita necesitamos necesita'is necesitan
practicar(present) practico practicas practica practicamos practica'is practican
preguntar(present) pregunto preguntas pregunta preguntamos pregunta'is preguntan
regresar(present) regreso regresas regresa regresamos regresa'is regresan
tomar(present) tomo tomas toma tomamos toma'is toman
trabajar(present) trabajo trabajas trabaja trabajamos trabaja'is trabajan
viajar(present) viajo viajas viaja viajamos viaja'is viajan
