abrir(mandato-formal[ud/uds/nos]) abra abran abramos
aprender(mandato-formal[ud/uds/nos]) aprenda aprendan aprendamos
asistir(mandato-formal[ud/uds/nos]) asista asistan asistamos
beber(mandato-formal[ud/uds/nos]) beba beban bebamos
comer(mandato-formal[ud/uds/nos]) coma coman comamos
comprender(mandato-formal[ud/uds/nos]) comprenda comprendan comprendamos
correr(mandato-formal[ud/uds/nos]) corra corran corramos
creer(mandato-formal[ud/uds/nos]) crea crean creamos
deber(mandato-formal[ud/uds/nos]) deba deban debamos
escribir(mandato-formal[ud/uds/nos]) escriba escriban escribamos
leer(mandato-formal[ud/uds/nos]) lea lean leamos
recibir(mandato-formal[ud/uds/nos]) reciba reciban recibamos
vender(mandato-formal[ud/uds/nos]) venda vendan vendamos
vivir(mandato-formal[ud/uds/nos]) viva vivan vivamos
llevar(mandato-formal[ud/uds/nos]) lleve lleven llevemos
cerrar(mandato-formal[ud/uds/nos]) cierre cierren cerremos
comenzar(mandato-formal[ud/uds/nos]) comience comiencen comencemos
competir(mandato-formal[ud/uds/nos]) compita compitan compitamos
empezar(mandato-formal[ud/uds/nos]) empiece empiecen empecemos
entender(mandato-formal[ud/uds/nos]) entienda entiendan entendamos
mentir(mandato-formal[ud/uds/nos]) mienta mientan mintamos
nevar(mandato-formal[ud/uds/nos]) nieve nieven nevemos
pedir(mandato-formal[ud/uds/nos]) pida pidan pidamos
pensar(mandato-formal[ud/uds/nos]) piense piensen pensemos
perder(mandato-formal[ud/uds/nos]) pierda pierdan perdamos
preferir(mandato-formal[ud/uds/nos]) prefiera prefieran prefiramos
rei'r(mandato-formal[ud/uds/nos]) ri'a ri'an riamos
repetir(mandato-formal[ud/uds/nos]) repita repitan repitamos
querer(mandato-formal[ud/uds/nos]) quiera quieran queramos
servir(mandato-formal[ud/uds/nos]) sirva sirvan sirvamos
sonreír(mandato-formal[ud/uds/nos]) sonri'a sonri'an sonriamos
