depositar(mandato-formal[ud/uds/nos]) deposite depositen depositemos
mandar(mandato-formal[ud/uds/nos]) mande manden mandemos
rezar(mandato-formal[ud/uds/nos]) rece recen recemos
alquilar(mandato-formal[ud/uds/nos]) alquile alquilen alquilemos
ir(mandato-formal[ud/uds/nos]) vaya vayan vayamos
almorzar(mandato-formal[ud/uds/nos]) almuerce almuercen almorcemos
costar(mandato-formal[ud/uds/nos]) cueste cuesten costemos
recordar(mandato-formal[ud/uds/nos]) recuerde recuerden recordemos
son'ar(mandato-formal[ud/uds/nos]) suen'e suen'en son'emos
encontrar(mandato-formal[ud/uds/nos]) encuentre encuentren encontremos
jugar(mandato-formal[ud/uds/nos]) juegue jueguen juguemos
dormir(mandato-formal[ud/uds/nos]) duerma duerman durmamos
morir(mandato-formal[ud/uds/nos]) muera mueran muramos
devolver(mandato-formal[ud/uds/nos]) devuelva devuelvan devolvamos
llover(mandato-formal[ud/uds/nos]) llueva lluevan llovamos
poder(mandato-formal[ud/uds/nos]) pueda puedan podamos
volver(mandato-formal[ud/uds/nos]) vuelva vuelvan volvamos
