ganar(mandato-formal[ud/uds/nos) gane ganen ganemos
dejar(mandato-formal[ud/uds/nos) deje dejen dejemos
destruir(mandato-formal[ud/uds/nos) destruya destruyan destruyamos
conducir(mandato-formal[ud/uds/nos) conduzca conduzcan conduzcamos
conocer(mandato-formal[ud/uds/nos) conozca conozcan conozcamos
dar(mandato-formal[ud/uds/nos) de' den demos
decir(mandato-formal[ud/uds/nos) diga digan digamos
hacer(mandato-formal[ud/uds/nos) haga hagan hagamos
oi'r(mandato-formal[ud/uds/nos) oiga oigan oigamos
poner(mandato-formal[ud/uds/nos) ponga pongan pongamos
saber(mandato-formal[ud/uds/nos) sepa sepan sepamos
salir(mandato-formal[ud/uds/nos) salga salgan salgamos
seguir(mandato-formal[ud/uds/nos) siga sigan sigamos
traer(mandato-formal[ud/uds/nos) traiga traigan traigamos
venir(mandato-formal[ud/uds/nos) venga vengan vengamos
ver(mandato-formal[ud/uds/nos) vea vean veamos
