afeitar(mandato-formal[ud/uds/nos) afeite afeiten afeitemos
arreglar(mandato-formal[ud/uds/nos) arregle arreglen arreglemos
ban'ar(mandato-formal[ud/uds/nos) ban'e ban'en ban'emos
cepillar(mandato-formal[ud/uds/nos) cepille cepillen cepillemos
cortar(mandato-formal[ud/uds/nos) corte corten cortemos
duchar(mandato-formal[ud/uds/nos) duche duchen duchemos
estirar(mandato-formal[ud/uds/nos) estire estiren estiremos
lavar(mandato-formal[ud/uds/nos) lave laven lavemos
levantar(mandato-formal[ud/uds/nos) levante levanten levantemos
maquillar(mandato-formal[ud/uds/nos) maquille maquillen maquillemos
peinar(mandato-formal[ud/uds/nos) peine peinen peinemos
quitar(mandato-formal[ud/uds/nos) quite quiten quitemos
secar(mandato-formal[ud/uds/nos) seque sequen sequemos
acampar(mandato-formal[ud/uds/nos) acampe acampen acampemos
andar(mandato-formal[ud/uds/nos) ande anden andemos
bucear(mandato-formal[ud/uds/nos) bucee buceen buceemos
montar(mandato-formal[ud/uds/nos) monte monten montemos
patinar(mandato-formal[ud/uds/nos) patine patinen patinemos
pescar(mandato-formal[ud/uds/nos) pesque pesquen pesquemos
acostar(mandato-formal[ud/uds/nos) acueste acuesten acostemos
despertar(mandato-formal[ud/uds/nos) despierte despierten despertemos
divertir(mandato-formal[ud/uds/nos) divierta diviertan divirtamos
vestir(mandato-formal[ud/uds/nos) vista vistan vistamos
