afeitar(present) afeito afeitas afeita afeitamos afeita'is afeitan
arreglar(present) arreglo arreglas arregla arreglamos arregla'is arreglan
ban'ar(present) ban'o ban'as ban'a ban'amos ban'a'is ban'an
cepillar(present) cepillo cepillas cepilla cepillamos cepilla'is cepillan
cortar(present) corto cortas corta cortamos corta'is cortan
duchar(present) ducho duchas ducha duchamos ducha'is duchan
estirar(present) estiro estiras estira estiramos estira'is estiran
lavar(present) lavo lavas lava lavamos lava'is lavan
levantar(present) levanto levantas levanta levantamos levanta'is levantan
maquillar(present) maquillo maquillas maquilla maquillamos maquilla'is maquillan
peinar(present) peino peinas peina peinamos peina'is peinan
quitar(present) quito quitas quita quitamos quita'is quitan
secar(present) seco secas seca secamos seca'is secan
acampar(present) acampo acampas acampa acampamos acampa'is acampan
andar(present) ando andas anda andamos anda'is andan
bucear(present) buceo buceas bucea buceamos bucea'is bucean
montar(present) monto montas monta montamos monta'is montan
patinar(present) patino patinas patina patinamos patina'is patinan
pescar(present) pesco pescas pesca pescamos pesca'is pescan
