afeitar(preterite) afeite' afeitaste afeito' afeitamos afeitasteis afeitaron
arreglar(preterite) arregle' arreglaste arreglo' arreglamos arreglasteis arreglaron
ban'ar(preterite) ban'e' ban'aste ban'o' ban'amos ban'asteis ban'aron
cepillar(preterite) cepille' cepillaste cepillo' cepillamos cepillasteis cepillaron
cortar(preterite) corte' cortaste corto' cortamos cortasteis cortaron
duchar(preterite) duche' duchaste ducho' duchamos duchasteis ducharon
estirar(preterite) estire' estiraste estiro' estiramos estirasteis estiraron
lavar(preterite) lave' lavaste lavo' lavamos lavasteis lavaron
levantar(preterite) levante' levantaste levanto' levantamos levantasteis levantaron
maquillar(preterite) maquille' maquillaste maquillo' maquillamos maquillasteis maquillaron
peinar(preterite) peine' peinaste peino' peinamos peinasteis peinaron
quitar(preterite) quite' quitaste quito' quitamos quitasteis quitaron
acampar(preterite) acampe' acampaste acampo' acampamos acampasteis acamparon
bucear(preterite) bucee' buceaste buceo' buceamos buceasteis bucearon
montar(preterite) monte' montaste monto' montamos montasteis montaron
patinar(preterite) patine' patinaste patino' patinamos patinasteis patinaron
acostar(preterite) acoste' acostaste acosto' acostamos acostasteis acostaron
despertar(preterite) desperte' despertaste desperto' despertamos despertasteis despertaron
