agregar(mandato-formal[ud/uds/nos) agregue agreguen agreguemos
batir(mandato-formal[ud/uds/nos) bata batan batamos
hornear(mandato-formal[ud/uds/nos) hornee horneen horneemos
mezclar(mandato-formal[ud/uds/nos) mezcle mezclen mezclemos
pelar(mandato-formal[ud/uds/nos) pele pelen pelemos
prestar(mandato-formal[ud/uds/nos) preste presten prestemos
chatear(mandato-formal[ud/uds/nos) chatee chateen chateemos
dibujar(mandato-formal[ud/uds/nos) dibuje dibujen dibujemos
pelear(mandato-formal[ud/uds/nos) pelee peleen peleemos
portar(mandato-formal[ud/uds/nos) porte porten portemos
saltar(mandato-formal[ud/uds/nos) salte salten saltemos
tejer(mandato-formal[ud/uds/nos) teja tejan tejamos
trepar(mandato-formal[ud/uds/nos) trepe trepen trepemos
tocar(mandato-formal[ud/uds/nos) toque toquen toquemos
frei'r(mandato-formal[ud/uds/nos) fri'a fri'an friamos
mostrar(mandato-formal[ud/uds/nos) muestre muestren mostremos
contar(mandato-formal[ud/uds/nos) cuente cuenten contemos
volar(mandato-formal[ud/uds/nos) vuele vuelen volemos
