agregar(mandato-informal[+/-]) agrega agregues
batir(mandato-informal[+/-]) bate batas
hornear(mandato-informal[+/-]) hornea hornees
mezclar(mandato-informal[+/-]) mezcla mezcles
pelar(mandato-informal[+/-]) pela peles
prestar(mandato-informal[+/-]) presta prestes
chatear(mandato-informal[+/-]) chatea chatees
dibujar(mandato-informal[+/-]) dibuja dibujes
pelear(mandato-informal[+/-]) pelea pelees
portar(mandato-informal[+/-]) porta portes
saltar(mandato-informal[+/-]) salta saltes
tejer(mandato-informal[+/-]) teje tejas
trepar(mandato-informal[+/-]) trepa trepes
tocar(mandato-informal[+/-]) toca toques
frei'r(mandato-informal[+/-]) fri'e fri'as
mostrar(mandato-informal[+/-]) muestra muestres
contar(mandato-informal[+/-]) cuenta cuentes
volar(mandato-informal[+/-]) vuela vueles
