brindar(mandato-formal[ud/uds/nos) brinde brinden brindemos
casar(mandato-formal[ud/uds/nos) case casen casemos
celebrar(mandato-formal[ud/uds/nos) celebre celebren celebremos
cumplir(mandato-formal[ud/uds/nos) cumpla cumplan cumplamos
romper(mandato-formal[ud/uds/nos) rompa rompan rompamos
aburrir(mandato-formal[ud/uds/nos) aburra aburran aburramos
alegrar(mandato-formal[ud/uds/nos) alegre alegren alegremos
asustar(mandato-formal[ud/uds/nos) asuste asusten asustemos
atropellar(mandato-formal[ud/uds/nos) atropelle atropellen atropellemos
chocar(mandato-formal[ud/uds/nos) choque choquen choquemos
dan'ar(mandato-formal[ud/uds/nos) dan'e dan'en dan'emos
enojar(mandato-formal[ud/uds/nos) enoje enojen enojemos
estacionar(mandato-formal[ud/uds/nos) estacione estacionen estacionemos
frustrar(mandato-formal[ud/uds/nos) frustre frustren frustremos
pasar(mandato-formal[ud/uds/nos) pase pasen pasemos
sorprender(mandato-formal[ud/uds/nos) sorprenda sorprendan sorprendamos
subir(mandato-formal[ud/uds/nos) suba suban subamos
atravesar(mandato-formal[ud/uds/nos) atraviese atraviesen atravesemos
caer(mandato-formal[ud/uds/nos) caiga caigan caigamos
distraer(mandato-formal[ud/uds/nos) distraiga distraigan distraigamos
sentir(mandato-formal[ud/uds/nos) sienta sientan sintamos
tropezar(mandato-formal[ud/uds/nos) tropiece tropiecen tropecemos
